"IndID","weeks_date","status","sex","birth_date","birth_year","last_date","death_year","death_month","season","hs_8km_natal","hs_8km_final","nterr_buffer50_first","area_buffer50_first","nterr_dens_buffer50_first","nterr_buffer50_last","area_buffer50_last","nterr_dens_buffer50_last"
83,48,1,"m",2017-05-01,2017,2018-04-06,2017,4,"Winter",0.348017395019531,0.446470733642578,11,7850.3934364416,11.0050277955088,9,7850.39343644157,9.00411365087083
84,43,1,"m",2017-05-01,2017,2018-03-01,2017,3,"Winter",0.337049560546875,0.116711601257324,15,7850.39343644156,15.0068560847847,0,7848.00048608697,0
85,57,1,"m",2017-05-01,2017,2018-06-06,2018,6,"Summer",0.408641937255859,0.267723297119141,13,7850.39343644159,13.0059419401467,2,4909.41307086534,3.19956032242776
86,45,1,"f",2017-05-01,2017,2018-03-15,2017,3,"Winter",0.459847900390625,0.177750991821289,11,7850.39343644152,11.0050277955089,9,7850.39343644177,9.00411365087061
87,38,0,"f",2017-05-01,2017,2018-01-25,2017,1,"Winter",0.304322784423828,0.301593841552734,15,7850.39343644156,15.0068560847847,15,7850.39343644161,15.0068560847846
88,254,0,"m",2017-05-01,2017,2022-03-20,2021,3,"Winter",0.348017395019531,0.224031402587891,11,7850.3934364416,11.0050277955088,13,7850.39343644159,13.0059419401467
89,42,0,"m",2017-05-01,2017,2018-02-25,2017,2,"Winter",0.234408676147461,0.234408676147461,1,7850.39343644178,1.00045707231896,1,7850.39343644178,1.00045707231896
90,199,0,"f",2017-05-01,2017,2021-02-25,2020,2,"Winter",0.348017395019531,0.26056787109375,11,7850.3934364416,11.0050277955088,6,7731.85567236152,6.09477100979745
91,46,0,"f",2017-05-01,2017,2018-03-21,2017,3,"Winter",0.348017395019531,0.375966674804687,11,7850.3934364416,11.0050277955088,11,7850.39343644158,11.0050277955088
92,202,0,"m",2017-05-01,2017,2021-03-18,2020,3,"Winter",0.448219970703125,0.279187622070313,14,7850.39343644164,14.0063990124656,19,7850.39343644176,19.0086843740602
93,92,1,"f",2017-05-01,2017,2019-02-10,2018,2,"Winter",0.533104431152344,0.363822265625,13,7850.39343644154,13.0059419401468,17,7850.39343644146,17.0077702294229
94,151,1,"f",2016-05-01,2016,2019-03-28,2018,3,"Winter",0.428648132324219,0.416025054931641,9,7850.39343644165,9.00411365087075,14,7850.39343644163,14.0063990124656
95,120,1,"m",2016-05-01,2016,2018-08-25,2018,8,"Summer",0.459847900390625,0.29415771484375,10,7850.39343644152,10.0045707231899,12,7850.3934364417,12.0054848678276
96,11,0,"f",2018-05-01,2018,2018-07-18,2018,7,"Summer",0.271897552490234,0.271853454589844,5,7827.31300058453,5.01703562473352,5,7824.02325257195,5.0191451254907
97,42,0,"m",2017-05-01,2017,2018-02-25,2017,2,"Winter",0.234408676147461,0.256925262451172,1,7850.39343644178,1.00045707231896,1,7850.39343644162,1.00045707231898
98,111,1,"m",2018-05-01,2018,2020-06-16,2020,6,"Summer",0.271897552490234,0.255672317504883,5,7827.31300058453,5.01703562473352,8,7845.20027273401,8.0089546330854
99,19,1,"f",2018-05-01,2018,2018-09-16,2018,9,"Summer",0.459847900390625,0.363337341308594,14,7850.39343644152,14.0063990124658,12,7850.39343644163,12.0054848678277
100,20,1,"m",2018-05-01,2018,2018-09-22,2018,9,"Summer",0.349135620117188,0.358171661376953,12,7850.39343644155,12.0054848678278,11,7850.39343644157,11.0050277955088
101,17,0,"f",2018-05-01,2018,2018-08-28,2018,8,"Summer",0.276771820068359,0.292783905029297,19,7850.3934364416,19.0086843740606,18,7850.39343644146,18.0082273017419
102,78,0,"f",2017-05-01,2017,2018-11-01,2018,11,"Winter",0.304322784423828,0.301675354003906,15,7850.39343644156,15.0068560847847,17,7850.39343644145,17.0077702294229
103,72,1,"f",2018-05-01,2018,2019-09-19,2019,9,"Summer",0.384158111572266,0.32934423828125,11,7850.39343644168,11.0050277955086,12,7844.56441106363,12.0144057297523
104,21,0,"m",2018-05-01,2018,2018-09-30,2018,9,"Summer",0.271897552490234,0.269852447509766,5,7827.31300058453,5.01703562473352,5,7829.76756220934,5.01546282924286
105,109,0,"f",2018-05-01,2018,2020-06-02,2020,6,"Summer",0.271897552490234,0.283778015136719,5,7827.31300058453,5.01703562473352,8,7846.83393353265,8.00728721979069
106,162,0,"f",2018-05-01,2018,2021-06-09,2021,6,"Summer",0.276771820068359,0.286390106201172,19,7850.3934364416,19.0086843740606,23,7850.39343644166,23.0105126633363
107,31,0,"f",2018-05-01,2018,2018-12-09,2018,12,"Winter",0.271897552490234,0.272776916503906,5,7827.31300058453,5.01703562473352,6,7836.58555126697,6.0133191293022
108,21,0,"f",2018-05-01,2018,2018-09-30,2018,9,"Summer",0.271897552490234,0.268855499267578,5,7827.31300058453,5.01703562473352,5,7828.34538749354,5.01637398786843
109,37,1,"m",2018-05-01,2018,2019-01-18,2018,1,"Winter",0.271897552490234,0.179336547851562,5,7827.31300058453,5.01703562473352,5,7850.39343644153,5.00228536159493
110,30,0,"m",2018-05-01,2018,2018-11-29,2018,11,"Winter",0.233868179321289,0.223528274536133,3,7416.22355455806,3.17708126360917,2,7421.33808996774,2.11659448438054
111,28,0,"f",2018-05-01,2018,2018-11-17,2018,11,"Winter",0.433415924072266,0.372914489746094,13,7850.39343644157,13.0059419401468,14,7850.39343644153,14.0063990124658
112,33,1,"f",2018-05-01,2018,2018-12-21,2018,12,"Winter",0.433415924072266,0.426553039550781,13,7850.39343644157,13.0059419401468,13,7850.39343644153,13.0059419401468
113,77,0,"m",2018-05-01,2018,2019-10-24,2019,10,"Summer",0.233868179321289,0.335316558837891,3,7416.22355455806,3.17708126360917,3,6003.71016659169,3.9245640192687
114,33,1,"m",2018-05-01,2018,2018-12-20,2018,12,"Winter",0.384158111572266,0.341829956054688,11,7850.39343644168,11.0050277955086,10,7850.39343644156,10.0045707231898
115,44,0,"f",2020-05-01,2020,2021-03-10,2020,3,"Winter",0.277809753417969,0.271693115234375,3,5711.72739132083,4.12518723105144,3,5947.06579152512,3.96194455011755
116,65,0,"m",2018-05-01,2018,2019-08-05,2019,8,"Summer",0.349135620117188,0.300136871337891,12,7850.39343644155,12.0054848678278,15,7850.39343644165,15.0068560847846
117,236,0,"f",2014-05-01,2014,2018-11-12,2018,11,"Winter",0.485548095703125,0.445424011230469,6,7850.39343644153,6.00274243391392,13,7850.3934364415,13.0059419401469
118,31,1,"m",2018-05-01,2018,2018-12-07,2018,12,"Winter",0.433415924072266,0.394611938476563,13,7850.39343644157,13.0059419401468,16,7850.39343644149,16.0073131571039
119,57,1,"m",2018-05-01,2018,2019-06-07,2019,6,"Summer",0.313552551269531,0.287118621826172,13,7850.39343644155,13.0059419401468,11,7850.39343644163,11.0050277955087
120,32,1,"f",2018-05-01,2018,2018-12-14,2018,12,"Winter",0.440198120117188,0.468912139892578,11,7850.39343644151,11.0050277955089,11,7850.39343644155,11.0050277955088
121,48,1,"m",2018-05-01,2018,2019-04-08,2018,4,"Winter",0.428648132324219,0.138557586669922,16,7850.39343644165,16.0073131571036,4,7850.39343644165,4.00182828927589
122,43,1,"m",2018-05-01,2018,2019-03-03,2018,3,"Winter",0.272038360595703,0.272038360595703,4,7850.39343644151,4.00182828927596,4,7850.39343644151,4.00182828927596
