"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
24,32,9,1,3,0.408742980957031,12,5529.38234958331,17.0449018803694,2,2013,6
93,7,4,1,6,0.475352569580078,14,6527.18008509716,16.8458264429832,6,2013,6
131,11,12,1,1,0.280007720947266,14,7345.36614639316,14.9694025708487,1,2013,4
76,9,21,1,4,0.392434112548828,9,7799.78600162439,9.06253513763702,3,2013,3
137,10,8,1,7,0.368324401855469,14,6144.74491500898,17.8942729757696,3,2013,3
105,8,15,1,4,0.366459228515625,10,4116.99043152853,19.0769975412804,3,2013,3
74,36,16,1,1,0.333542053222656,9,4690.0486714867,15.0714501398476,1,2013,1
65,13,118,1,4,0.247864135742187,9,5884.63627980333,12.0119292586309,2,2013,2
97,86,101,1,7,0.448219970703125,2,7850.39343644161,2.00091414463795,2,2013,2
13,79,96,1,4,0.533104431152344,2,7850.39343644153,2.00091414463797,1,2013,1
45,97,102,1,6,0.480482727050781,3,7850.39343644169,3.0013712169569,1,2013,1
3,4,95,1,8,0.49881689453125,3,7850.39343644156,3.00137121695695,5,2013,5
6,92,97,1,6,0.428908020019531,6,7850.39343644158,6.00274243391389,1,2013,1
19,110,100,1,7,0.527090148925781,2,7850.39343644164,2.00091414463795,1,2013,1
46,111,NA,0,0,0.421514587402344,6,7850.39343644151,6.00274243391394,1,2013,1
85,96,74,NA,0,0.465963134765625,2,7850.39343644164,2.00091414463795,1,2013,1
82,76,92,1,7,0.4084814453125,6,7850.3934364415,6.00274243391395,4,2014,4
84,15,114,1,3,0.475745300292969,10,6666.39828349849,11.7814467422621,2,2014,4
135,54,99,1,5,0.367643646240234,7,7850.39343644163,7.00319950623282,3,2014,3
51,81,110,1,5,0.462130828857422,7,7850.39343644162,7.00319950623282,3,2014,3
8,80,111,1,6,0.368691131591797,13,7850.39343644141,13.005941940147,2,2014,2
1,94,32,1,6,0.322167572021484,15,7717.34502993915,15.2655769636551,2,2014,2
41,112,45,1,2,0.468784027099609,9,7850.3934364417,9.00411365087069,2,2014,2
126,68,13,1,5,0.281550262451172,11,7850.39343644162,11.0050277955087,1,2014,1
106,12,9,1,5,0.522211059570313,11,4955.94343934237,17.4323615737599,3,2014,10
25,14,132,1,0,0.565866455078125,10,3734.87512180193,21.0287663652466,4,2014,9
93,7,4,1,5,0.475352569580078,16,6527.18008509716,19.252373077695,7,2014,7
131,11,12,1,5,0.280007720947266,16,7345.36614639316,17.1078886523985,2,2014,5
76,9,21,1,6,0.392434112548828,11,7799.78600162439,11.0764318348897,4,2014,4
137,10,8,1,3,0.368324401855469,16,6144.74491500898,20.4505976865938,4,2014,4
105,8,15,1,5,0.348290893554688,9,4252.77334411669,16.6211149727877,4,2014,4
81,103,121,1,1,0.223859237670898,10,7455.00484685922,10.5351797823221,1,2014,1
123,28,122,1,5,0.285291717529297,14,7523.49342353464,14.6149849126849,1,2014,1
71,73,160,1,1,0.310371765136719,15,7114.87912830914,16.5582186829947,1,2014,1
85,96,74,1,5,0.465963134765625,2,7850.39343644164,2.00091414463795,2,2014,2
148,95,106,1,4,0.618712768554687,1,4581.11515059392,1.71442571858432,1,2014,1
120,82,116,1,3,0.485548095703125,4,7850.39343644151,4.00182828927596,1,2014,1
97,98,101,1,6,0.448219970703125,4,7850.39343644161,4.00182828927591,1,2014,3
13,79,96,1,5,0.533104431152344,4,7850.39343644153,4.00182828927595,2,2014,2
45,97,102,1,7,0.480482727050781,3,7850.39343644169,3.0013712169569,2,2014,2
37,93,105,1,1,0.548160095214844,4,7850.39343644153,4.00182828927595,1,2014,1
3,4,95,1,6,0.49881689453125,4,7850.39343644156,4.00182828927593,6,2014,6
6,92,97,1,4,0.428908020019531,6,7850.39343644158,6.00274243391389,2,2014,2
19,110,103,0,0,0.527090148925781,2,7850.39343644164,2.00091414463795,2,2014,2
46,111,115,1,1,0.421514587402344,7,7850.39343644151,7.00319950623293,2,2014,2
64,89,108,1,3,0.467581451416016,6,7850.39343644162,6.00274243391385,1,2014,1
165,41,6,NA,0,0.433695129394531,12,4626.76520502006,20.3701237109319,7,2014,6
82,76,92,1,7,0.4084814453125,8,7850.3934364415,8.00365657855193,5,2015,5
84,113,114,1,3,0.475745300292969,15,6666.39828349849,17.6721701133931,1,2015,5
135,54,99,1,5,0.367655090332031,8,7850.39343644174,8.00365657855168,4,2015,4
51,81,110,1,6,0.462130828857422,9,7850.39343644162,9.00411365087078,4,2015,4
8,80,111,1,2,0.368691131591797,17,7850.39343644141,17.007770229423,3,2015,3
144,143,NA,1,1,0.362009338378906,17,5258.15761440533,25.3924848908635,1,2015,1
1,94,32,1,7,0.322167572021484,19,7717.34502993915,19.3363974872965,3,2015,3
66,100,119,1,3,0.31156591796875,20,6243.56224596804,25.1586556666314,1,2015,1
57,105,68,1,2,0.398153137207031,15,7850.3934364417,15.0068560847845,1,2015,1
125,68,139,1,3,0.281550262451172,13,7850.39343644162,13.0059419401467,1,2015,1
127,115,128,1,2,0.395443756103516,6,6717.54133073307,7.01505022205861,1,2015,1
141,140,161,1,3,0.403295166015625,8,7769.16664477916,8.08733496713171,1,2015,1
106,12,9,1,4,0.522211059570313,17,4955.94343934237,26.9409224321743,4,2015,11
25,14,132,1,7,0.565866455078125,15,3734.87512180193,31.5431495478699,5,2015,10
24,32,NA,1,4,0.408742980957031,17,5529.38234958331,24.1469443305233,4,2015,7
93,7,4,1,3,0.475352569580078,22,6527.18008509716,26.4720129818307,8,2015,8
131,11,156,1,1,0.282500732421875,22,7435.50530825502,23.2381780099877,3,2015,6
76,9,21,1,6,0.405811492919922,16,7807.52245801809,16.0952090524618,5,2015,5
137,10,NA,1,4,0.393886077880859,22,5975.25580191852,28.9171880962754,5,2015,5
105,8,15,1,4,0.366459228515625,14,4116.99043152853,26.7077965577926,5,2015,5
78,36,120,1,4,0.239007446289063,12,3668.69772640175,25.6897097107349,1,2015,1
71,73,160,1,2,0.310371765136719,21,7114.87912830914,23.1815061561925,2,2015,2
123,28,122,1,5,0.268086059570313,20,7233.9908813554,21.7141043243973,2,2015,2
81,103,121,1,1,0.223859237670898,14,7455.00484685922,14.749251695251,2,2015,2
49,61,124,1,1,0.324373199462891,9,7850.39343644142,9.00411365087101,1,2015,1
21,70,NA,1,4,0.205359527587891,14,5132.70477044743,21.4225730473989,1,2015,1
14,138,141,1,3,0.368716064453125,13,3470.38729766364,29.4208549317841,1,2015,1
85,96,74,1,6,0.465963134765625,2,7850.39343644164,2.00091414463795,3,2015,3
148,95,106,1,7,0.618712768554687,1,4581.11515059392,1.71442571858432,2,2015,2
97,98,101,1,5,0.448219970703125,4,7850.39343644161,4.00182828927591,2,2015,4
160,62,129,1,6,0.378715698242187,4,7850.39343644165,4.00182828927588,1,2015,1
13,79,96,1,3,0.533104431152344,4,7850.39343644153,4.00182828927595,3,2015,3
22,84,126,1,5,0.356144683837891,1,6495.47674334883,1.20914629430653,1,2015,1
37,93,147,1,4,0.548160095214844,4,7850.39343644153,4.00182828927595,2,2015,2
6,91,97,1,5,0.428908020019531,8,7850.39343644158,8.00365657855185,1,2015,3
94,136,125,1,2,0.338429168701172,7,7850.39343644161,7.00319950623283,1,2015,1
19,110,103,0,0,0.527090148925781,4,7850.39343644164,4.00182828927589,3,2015,3
164,130,142,1,4,0.490279754638672,3,7850.39343644133,3.00137121695704,1,2015,1
46,111,127,1,3,0.421514587402344,9,7850.39343644151,9.0041136508709,3,2015,3
64,89,108,1,3,0.467581451416016,8,7850.39343644162,8.0036565785518,2,2015,2
20,107,162,1,5,0.359716796875,9,7850.39343644158,9.00411365087082,1,2015,1
144,143,NA,1,5,0.351857269287109,21,5191.10410476037,31.7723572837262,2,2016,2
1,94,32,1,1,0.299420135498047,23,7749.79342593163,23.3092119561493,4,2016,4
66,100,183,1,4,0.340127716064453,24,6012.31228607794,31.3515915751526,2,2016,2
165,19,91,1,3,0.403861724853516,20,4755.53983821735,33.0308730498139,1,2016,7
8,80,174,1,4,0.395057006835937,22,7850.39343644147,22.0100555910179,4,2016,4
57,105,111,1,2,0.382748626708984,19,7850.39343644149,19.0086843740609,2,2016,2
84,113,114,1,4,0.494326538085938,16,6447.62238549337,19.4899295632333,2,2016,6
125,68,139,1,2,0.293001617431641,17,7850.39343644152,17.0077702294228,2,2016,2
133,142,158,1,4,0.311334320068359,14,7704.89677024501,14.2708911169677,1,2016,1
79,178,64,1,7,0.62811962890625,1,7850.39343644168,1.00045707231897,1,2016,1
63,44,194,1,4,0.335040435791016,22,7824.60153373057,22.0826064052693,1,2016,1
30,127,163,1,4,0.366527313232422,10,7850.39343644155,10.0045707231898,1,2016,1
141,140,161,1,8,0.407827453613281,10,7792.16244323902,10.0793350898236,2,2016,2
106,12,9,1,4,0.522211059570313,19,4955.94343934237,30.1104427183125,5,2016,12
25,14,132,1,6,0.565866455078125,16,3734.87512180193,33.6460261843946,6,2016,11
24,32,NA,1,0,0.398243469238281,18,5645.25457511142,25.0425676168467,5,2016,8
93,7,4,1,4,0.444907531738281,21,6368.43654734179,25.8986036976859,9,2016,9
105,8,186,1,0,0.389776489257812,16,4509.34157043871,27.8674179324513,6,2016,6
78,36,120,1,1,0.239007446289063,12,3668.69772640175,25.6897097107349,2,2016,2
71,73,160,1,6,0.290254760742187,25,7386.15957633086,26.5834414786501,3,2016,3
123,28,122,1,2,0.280701049804688,22,7182.4008870966,24.0570804475502,3,2016,3
49,61,124,1,5,0.324373199462891,12,7850.39343644142,12.005484867828,2,2016,2
14,138,85,1,5,0.387403198242187,14,3584.07330346324,30.6789882811253,2,2016,2
104,123,117,1,0,0.428910766601563,24,6434.12180227479,29.2962373122537,1,2016,1
76,9,21,1,1,0.405811492919922,18,7807.52245801809,18.1071101840195,6,2016,6
114,151,136,1,3,0.218751571655273,13,7850.39343644184,13.0059419401463,1,2016,1
74,101,138,1,3,0.333542053222656,15,4690.0486714867,25.1190835664127,1,2016,2
85,96,74,1,4,0.465963134765625,4,7850.39343644164,4.00182828927589,4,2016,4
148,95,106,1,6,0.618712768554687,1,4581.11515059392,1.71442571858432,3,2016,3
70,119,159,1,4,0.374128845214844,4,7850.39343644162,4.0018282892759,1,2016,1
97,98,116,1,7,0.455972564697266,8,7850.39343644165,8.00365657855177,3,2016,5
